Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Guinea-Bissau [Africa];2002;null;Not applicable;15.78;null;;;;;;
Denmark [Europe];2004;Female;null;0.0;null;4.00797;0.0;0.19563;395.2838;;
Sao Tome and Principe [Africa];2002;null;Not applicable;5.34;null;;;;;;
Portugal [Europe];2002;null;Not applicable;1.31;null;;;;;;
Namibia [Africa];2004;Both sexes;null;15.8;null;22.01565;14.2;2.21431;774.1565;6.31984;
Rwanda [Africa];2004;Male;null;61.2;null;50.65191;25.1;4.94613;893.8636;;
Equatorial Guinea [Africa];2002;null;Not applicable;15.9;null;;;;;;
Sudan [Eastern Mediterranean];2002;null;Not applicable;33.08;null;;;;;;
Uruguay [Americas];2004;Male;null;7.4;null;22.07022;4.1;0.61837;700.352;;
Saint Vincent and the Grenadines [Americas];2004;Male;null;29.5;null;10.04222;12.5;0.04317;718.4427;;
San Marino [Europe];2002;null;Not applicable;0.0;null;;;;;;
Netherlands [Europe];2004;Male;null;1.7;null;7.99651;1.6;0.14453;529.1248;;
Togo [Africa];2004;Both sexes;null;16.7;null;31.04213;24.9;2.50319;746.8979;6.94984;
India [South-East Asia];2002;null;Not applicable;6.58;null;;;;;;
The former state union Serbia and Montenegro;2002;null;Not applicable;1.64;null;;;;;;
Canada [Americas];2004;Male;null;2.0;null;12.59281;1.8;0.49116;459.4023;;
Thailand [South-East Asia];2002;null;Not applicable;9.09;null;;;;;;
Uganda [Africa];2002;null;Not applicable;27.86;null;;;;;;
Hungary [Europe];2004;Female;null;0.1;null;7.00783;0.1;0.52577;526.1861;;
Eritrea [Africa];2004;Female;null;0.1;null;16.97977;0.5;2.56739;660.7241;;
Burundi [Africa];2004;Female;null;0.3;null;18.21865;1.6;1.83369;769.5877;;
Equatorial Guinea [Africa];2004;Both sexes;null;28.3;null;19.75339;32.7;2.18978;668.6875;10.0867;
Slovakia [Europe];2002;null;Not applicable;2.07;null;;;;;;
Italy [Europe];2004;Both sexes;null;0.9;null;10.89245;1.4;0.31526;370.8179;0.61979;
Haiti [Americas];2004;Male;null;12.0;null;25.5399;16.7;1.67798;836.0435;;
Turkey [Europe];2004;Female;null;0.4;null;3.94842;4.0;0.47929;380.3605;;
Russian Federation [Europe];2004;Female;null;10.1;null;15.10987;1.3;3.82872;706.2465;;
Somalia [Eastern Mediterranean];2004;Both sexes;null;1.9;null;27.67947;23.7;4.88017;817.9054;12.95242;
Gabon [Africa];2004;Both sexes;null;18.7;null;25.10155;22.6;1.65775;720.8522;8.96294;
Equatorial Guinea [Africa];2004;Male;null;46.4;null;23.24278;36.4;2.6352;718.3382;;
Nauru [Western Pacific];2004;Female;null;0.0;null;;;;;;
Hungary [Europe];2004;Male;null;2.4;null;24.1741;5.9;1.64154;930.7477;;
Latvia [Europe];2004;Male;null;12.5;null;37.11634;1.1;5.9415;1028.982;;
Seychelles [Africa];2002;null;Not applicable;3.49;null;;;;;;
Papua New Guinea [Western Pacific];2004;Male;null;32.2;null;26.36715;16.9;2.2211;954.9058;;
Mexico [Americas];2002;null;Not applicable;11.08;null;;;;;;
Kazakhstan [Europe];2004;Female;null;0.7;null;12.41466;1.5;2.40691;756.3804;;
Guinea [Africa];2004;Female;null;0.3;null;22.36071;1.9;2.0574;611.7459;;
Marshall Islands [Western Pacific];2004;Female;null;0.0;null;;0.0;;;;
Fiji [Western Pacific];2004;Female;null;0.0;null;7.24524;0.0;0.27019;823.7899;;
Philippines [Western Pacific];2002;null;Not applicable;24.88;null;;;;;;
Palau [Western Pacific];2004;Male;null;1.5;null;;1.8;;;;
Iceland [Europe];2004;Male;null;1.2;null;11.60461;0.9;0.34713;425.1955;;
Qatar [Eastern Mediterranean];2002;null;Not applicable;1.41;null;;;;;;
Kyrgyzstan [Europe];2004;Female;null;0.1;null;9.01711;0.5;1.23371;680.6362;;
United States of America [Americas];2004;Both sexes;null;6.2;null;15.78819;3.1;0.36836;446.4185;0.91046;
Peru [Americas];2004;Female;null;0.2;null;8.85896;1.0;0.48534;332.3371;;
Belgium [Europe];2004;Male;null;1.8;null;18.04865;1.1;0.56763;522.6406;;
Angola [Africa];2004;Both sexes;null;48.2;null;25.87048;32.0;3.71244;767.2207;13.02919;
Brunei Darussalam [Western Pacific];2002;null;Not applicable;1.2;null;;;;;;
Djibouti [Eastern Mediterranean];2002;null;Not applicable;4.09;null;;;;;;
Niger [Africa];2002;null;Not applicable;19.05;null;;;;;;
Cabo Verde [Africa];2004;Female;null;0.0;null;10.48447;0.0;0.26604;374.6318;;
Singapore [Western Pacific];2004;Both sexes;null;1.2;null;6.2482;1.1;0.0289;329.1087;0.66956;
Argentina [Americas];2004;Both sexes;null;6.8;null;10.61001;8.0;0.56809;518.0276;1.46763;
Malta [Europe];2002;null;Not applicable;1.58;null;;;;;;
Sierra Leone [Africa];2004;Female;null;0.3;null;22.88705;1.6;2.55222;628.7023;;
Uzbekistan [Europe];2004;Female;null;0.2;null;5.56797;2.7;0.64912;773.3813;;
Nepal [South-East Asia];2004;Male;null;28.5;null;21.74637;13.4;2.44715;496.7664;;
Peru [Americas];2004;Male;null;5.6;null;21.89157;7.4;0.6625;361.2138;;
Seychelles [Africa];2004;Female;null;0.0;null;3.6216;0.0;0.62282;490.2285;;
Samoa [Western Pacific];2004;Female;null;0.0;null;8.98502;0.0;0.26071;727.8103;;
Mexico [Americas];2004;Female;null;1.3;null;6.40305;4.5;0.44212;407.6107;;
Botswana [Africa];2004;Male;null;38.9;null;47.66716;35.3;3.24565;1241.804;;
Haiti [Americas];2004;Both sexes;null;6.8;null;18.89007;16.5;1.29015;897.942;8.36139;
Papua New Guinea [Western Pacific];2004;Female;null;0.1;null;8.64752;0.7;0.36878;695.6549;;
Bahrain [Eastern Mediterranean];2004;Female;null;0.0;null;6.37216;0.0;0.09953;796.6621;;
Saint Lucia [Americas];2004;Female;null;0.0;null;8.64223;0.0;0.10719;446.6884;;
Guatemala [Americas];2004;Male;null;96.4;null;8.23115;10.0;2.14791;616.5108;;
C\u00f4te d'Ivoire [Africa];2004;Female;null;1.4;null;14.21644;5.4;1.47037;587.6963;;
Cook Islands [Western Pacific];2002;null;Not applicable;0.96;null;;;;;;
Lithuania [Europe];2002;null;Not applicable;9.75;null;;;;;;
Slovenia [Europe];2002;null;Not applicable;0.72;null;;;;;;
Namibia [Africa];2004;Female;null;0.0;null;9.16138;0.2;1.6589;618.6569;;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;null;38.2;null;28.18831;7.7;0.25815;445.6473;2.21638;
Sierra Leone [Africa];2004;Both sexes;null;39.8;null;31.24773;34.7;3.39872;667.0498;10.9734;
Bosnia and Herzegovina [Europe];2004;Male;null;2.9;null;27.61249;2.6;0.57042;725.8683;;
Mexico [Americas];2004;Both sexes;null;9.9;null;14.95384;9.0;0.72439;465.631;1.62937;
Republic of Korea [Western Pacific];2002;null;Not applicable;1.74;null;;;;;;
Venezuela (Bolivarian Republic of) [Americas];2002;null;Not applicable;34.94;null;;;;;;
Burundi [Africa];2004;Both sexes;null;44.8;null;29.7097;21.8;2.55137;825.1021;17.23415;
Australia [Western Pacific];2004;Male;null;1.8;null;11.88494;0.7;0.54543;431.3181;;
Bosnia and Herzegovina [Europe];2004;Female;null;0.0;null;9.00482;0.0;0.31845;538.7858;;
Luxembourg [Europe];2004;Male;null;1.1;null;15.86347;3.0;0.98522;532.4285;;
Greece [Europe];2004;Female;null;0.0;null;7.93366;0.1;0.08803;342.8998;;
Poland [Europe];2004;Female;null;0.2;null;7.3725;0.3;0.62333;439.8272;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;null;3.1;null;10.45136;4.0;0.29559;519.4919;;
Finland [Europe];2004;Female;null;0.0;null;4.71853;0.0;0.52742;313.9966;;
Niue [Western Pacific];2004;Male;null;1.8;null;;2.2;;;;
Burkina Faso [Africa];2004;Both sexes;null;22.5;null;29.06241;16.2;3.23507;693.3173;9.13623;
Georgia [Europe];2004;Both sexes;null;3.4;null;15.54731;19.4;0.64831;896.6879;1.19607;
China [Western Pacific];2004;Male;null;2.8;null;29.87821;10.2;2.33047;823.5555;;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;null;5.2;null;31.93355;4.5;0.42018;662.3239;;
Sweden [Europe];2004;Male;null;1.5;null;8.41959;1.1;0.2214;456.0201;;
Saint Kitts and Nevis [Americas];2004;Female;null;0.0;null;;0.0;;;;
Egypt [Eastern Mediterranean];2004;Both sexes;null;1.5;null;10.72371;10.0;0.2442;768.8781;2.36059;
Honduras [Americas];2004;Female;null;0.2;null;11.59425;0.5;0.12511;608.5063;;
United Arab Emirates [Eastern Mediterranean];2002;null;Not applicable;0.86;null;;;;;;
United Arab Emirates [Eastern Mediterranean];2004;Both sexes;null;0.5;null;20.89182;4.1;0.51876;601.6681;1.14992;
Italy [Europe];2004;Male;null;1.3;null;17.84777;1.4;0.42463;479.331;;
Azerbaijan [Europe];2002;null;Not applicable;3.0;null;;;;;;
Paraguay [Americas];2004;Female;null;0.1;null;4.99665;0.3;0.24529;392.4891;;
Brazil [Americas];2004;Both sexes;null;29.9;null;22.23183;10.6;0.10028;548.9987;1.73584;
Dominican Republic [Americas];2004;Male;null;33.7;null;58.34671;15.6;0.33328;471.6363;;
Suriname [Americas];2004;Female;null;0.0;null;11.84002;0.0;0.25621;524.8953;;
Botswana [Africa];2004;Female;null;0.1;null;12.94619;0.3;2.62742;785.3712;;
South Africa [Africa];2004;Female;null;5.1;null;23.37798;3.4;1.88277;701.7191;;
Mauritius [Africa];2004;Female;null;0.0;null;6.08134;0.0;0.01644;567.594;;
Norway [Europe];2004;Female;null;0.0;null;3.4955;0.0;0.24464;314.838;;
Micronesia (Federated States of) [Western Pacific];2004;Male;null;1.5;null;6.19781;;1.67821;1295.38;;
Grenada [Americas];2004;Male;null;2.7;null;3.36478;5.0;0.65347;968.7422;;
Senegal [Africa];2004;Both sexes;null;17.2;null;24.89342;20.6;3.1843;623.1056;10.25506;
Lithuania [Europe];2004;Female;null;0.1;null;9.87312;0.0;1.93646;477.9044;;
Suriname [Americas];2002;null;Not applicable;4.91;null;;;;;;
Cambodia [Western Pacific];2002;null;Not applicable;21.82;null;;;;;;
Maldives [South-East Asia];2004;Male;null;1.9;null;2.20799;19.2;0.09008;634.0946;;
Suriname [Americas];2004;Both sexes;null;12.9;null;29.37125;14.9;0.32766;625.4579;2.02346;
Honduras [Americas];2004;Both sexes;null;26.4;null;15.93587;10.7;0.4704;568.0104;2.7547;
Lesotho [Africa];2004;Female;null;0.1;null;11.07834;0.2;2.27923;776.2272;;
Chad [Africa];2004;Male;null;39.9;null;33.15619;20.0;5.01687;760.0266;;
Uganda [Africa];2004;Female;null;1.3;null;15.60047;4.4;2.18972;618.174;;
Republic of Korea [Western Pacific];2004;Both sexes;null;2.0;null;16.63318;2.2;0.47072;420.4106;0.79819;
Jordan [Eastern Mediterranean];2002;null;Not applicable;3.2;null;;;;;;
Republic of Moldova [Europe];2004;Both sexes;null;7.8;null;16.67482;1.8;8.96171;926.3645;1.7585;
Bahamas [Americas];2004;Male;null;36.4;null;25.32702;2.0;0.32569;663.1314;;
Ireland [Europe];2004;Female;null;0.0;null;5.11176;0.0;0.32912;353.9013;;
Philippines [Western Pacific];2004;Both sexes;null;24.7;null;10.11326;10.9;0.2361;693.3588;2.42949;
Bhutan [South-East Asia];2004;Male;null;7.4;null;17.41561;13.7;0.5596;623.0157;;
Oman [Eastern Mediterranean];2004;Female;null;0.0;null;11.40154;0.0;0.07747;723.406;;
Finland [Europe];2002;null;Not applicable;2.83;null;;;;;;
Senegal [Africa];2004;Male;null;27.2;null;34.5606;21.6;4.09945;671.2913;;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Female;null;0.3;null;3.43985;0.6;0.20122;358.0956;;
India [South-East Asia];2004;Both sexes;null;6.5;null;15.59623;26.3;0.50403;615.8517;5.00597;
Armenia [Europe];2004;Both sexes;null;3.2;null;18.46227;13.8;1.12457;676.3682;0.87456;
Republic of Moldova [Europe];2004;Male;null;10.7;null;26.95964;2.8;12.88388;1153.494;;
Ghana [Africa];2004;Female;null;0.7;null;14.71554;3.9;1.55032;611.4062;;
Cambodia [Western Pacific];2004;Female;null;0.4;null;9.8146;1.8;0.51188;637.6902;;
Micronesia (Federated States of) [Western Pacific];2004;Female;null;0.0;null;3.13299;;0.52355;996.7928;;
Central African Republic [Africa];2004;Both sexes;null;36.0;null;33.64879;24.4;3.47928;1008.958;12.22871;
Bahamas [Americas];2004;Both sexes;null;22.4;null;15.98431;1.9;0.22496;563.099;1.70946;
Panama [Americas];2004;Male;null;22.3;null;23.17666;9.9;0.66004;437.0951;;
Central African Republic [Africa];2002;null;Not applicable;28.6;null;;;;;;
Costa Rica [Americas];2002;null;Not applicable;6.78;null;;;;;;
Angola [Africa];2004;Female;null;1.0;null;21.9593;4.7;2.36179;667.7593;;
Antigua and Barbuda [Americas];2004;Male;null;12.7;null;5.26191;11.3;1.44846;585.883;;
Netherlands [Europe];2004;Female;null;0.1;null;3.19427;0.0;0.11473;348.1576;;
Japan [Western Pacific];2004;Female;null;0.3;null;6.24534;0.1;0.16345;205.2682;;
Azerbaijan [Europe];2004;Male;null;4.8;null;17.10014;25.5;1.3515;1045.313;;
Guyana [Americas];2002;null;Not applicable;10.55;null;;;;;;
Nigeria [Africa];2002;null;Not applicable;28.75;null;;;;;;
Mali [Africa];2004;Both sexes;null;23.5;null;24.46423;31.2;3.63852;665.2017;10.40511;
Rwanda [Africa];2004;Female;null;0.5;null;23.38891;2.0;3.2624;674.0532;;
Afghanistan [Eastern Mediterranean];2004;Male;null;6.5;null;22.76968;25.8;0.86953;1056.335;;
Cameroon [Africa];2004;Male;null;30.2;null;43.55688;20.6;3.66954;882.0368;;
Niue [Western Pacific];2002;null;Not applicable;1.07;null;;;;;;
China [Western Pacific];2004;Both sexes;null;2.1;null;20.54032;11.9;2.0114;673.3764;1.55522;
Sao Tome and Principe [Africa];2004;Male;null;9.9;null;43.44028;;1.56757;631.7794;;
Congo [Africa];2004;Both sexes;null;23.5;null;25.80853;20.3;2.09607;824.3923;5.38661;
France [Europe];2004;Both sexes;null;0.8;null;8.91134;0.8;0.42265;362.3329;0.57662;
Saint Lucia [Americas];2004;Both sexes;null;22.4;null;20.3929;10.6;0.19972;546.5042;1.58497;
Spain [Europe];2004;Male;null;1.7;null;18.20615;1.3;0.5123;502.1011;;
Guyana [Americas];2004;Female;null;0.0;null;11.50979;0.1;0.1618;778.445;;
Bulgaria [Europe];2002;null;Not applicable;2.74;null;;;;;;
Democratic People's Republic of Korea [South-East Asia];2004;Female;null;0.6;null;12.05117;1.3;1.00292;569.0336;;
Haiti [Americas];2004;Female;null;0.1;null;12.43221;1.1;0.91352;953.4293;;
Colombia [Americas];2004;Both sexes;null;81.7;null;17.47554;9.4;0.15976;400.3552;1.76632;
Belize [Americas];2002;null;Not applicable;15.49;null;;;;;;
Senegal [Africa];2002;null;Not applicable;13.26;null;;;;;;
Niue [Western Pacific];2004;Both sexes;null;1.0;null;;2.4;;;3.03792;
Guinea-Bissau [Africa];2004;Female;null;0.0;null;22.16522;0.4;1.65583;654.7846;;
Somalia [Eastern Mediterranean];2004;Male;null;2.4;null;39.54039;22.8;7.08921;978.0466;;
Marshall Islands [Western Pacific];2004;Both sexes;null;1.7;null;;6.8;;;3.40744;
Croatia [Europe];2002;null;Not applicable;1.7;null;;;;;;
Afghanistan [Eastern Mediterranean];2004;Female;null;0.1;null;7.11146;6.0;4.1155;1019.607;;
Cambodia [Western Pacific];2004;Male;null;39.2;null;25.87782;23.7;1.01172;850.8337;;
Zimbabwe [Africa];2004;Female;null;0.7;null;10.56729;2.0;2.45284;631.9901;;
Samoa [Western Pacific];2004;Male;null;1.9;null;20.80581;1.9;0.83119;909.4097;;
Sweden [Europe];2004;Both sexes;null;1.3;null;5.57275;0.8;0.21472;376.6507;0.56965;
Myanmar [South-East Asia];2002;null;Not applicable;18.51;null;;;;;;
Malaysia [Western Pacific];2004;Both sexes;null;10.2;null;25.48962;4.4;0.6851;581.3911;1.63458;
Ghana [Africa];2004;Both sexes;null;14.1;null;25.4368;22.9;2.14945;677.5735;7.08075;
Comoros [Africa];2004;Female;null;0.0;null;18.72625;0.1;2.37856;607.0278;;
Mozambique [Africa];2004;Both sexes;null;25.6;null;33.10305;19.9;3.97912;755.7267;11.71559;
Estonia [Europe];2004;Both sexes;null;7.7;null;13.86067;2.3;1.52386;665.3738;1.26605;
Yemen [Eastern Mediterranean];2002;null;Not applicable;3.08;null;;;;;;
Turkmenistan [Europe];2004;Male;null;17.0;null;27.7507;34.3;1.95297;1227.362;;
Namibia [Africa];2002;null;Not applicable;32.62;null;;;;;;
Saudi Arabia [Eastern Mediterranean];2004;Female;null;0.2;null;11.79006;1.0;0.66418;649.6883;;
Saint Vincent and the Grenadines [Americas];2004;Female;null;0.0;null;4.65063;0.0;0.04939;574.6247;;
Uruguay [Americas];2004;Female;null;0.0;null;6.29539;0.0;0.24762;397.5841;;
Azerbaijan [Europe];2004;Both sexes;null;2.9;null;10.68773;23.4;0.97799;900.9445;1.98578;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;null;0.6;null;10.97749;1.1;0.14188;373.798;;
Marshall Islands [Western Pacific];2004;Male;null;3.3;null;;5.3;;;;
Turkmenistan [Europe];2004;Female;null;0.1;null;7.27693;0.6;0.90475;821.5847;;
Ecuador [Americas];2004;Female;null;0.3;null;6.4284;0.6;0.42513;409.1292;;
Austria [Europe];2004;Female;null;0.0;null;5.30284;0.1;0.12454;335.7056;;
Sierra Leone [Africa];2004;Male;null;71.2;null;39.71984;38.9;4.2565;712.2658;;
Dominican Republic [Americas];2004;Both sexes;null;18.6;null;35.99186;14.3;0.29071;421.7967;2.19708;
Sweden [Europe];2004;Female;null;0.0;null;2.77645;0.0;0.20817;314.2472;;
Nauru [Western Pacific];2004;Both sexes;null;12.6;null;;;;;3.25114;
Ecuador [Americas];2004;Male;null;45.9;null;21.0763;9.9;0.63266;524.8441;;
Colombia [Americas];2004;Female;null;2.4;null;7.34937;1.9;0.08273;366.7477;;
Angola [Africa];2002;null;Not applicable;51.06;null;;;;;;
Ghana [Africa];2002;null;Not applicable;10.68;null;;;;;;
Guinea-Bissau [Africa];2004;Both sexes;null;21.2;null;31.50841;25.9;2.68431;788.4716;7.14485;
Guyana [Americas];2004;Male;null;35.5;null;46.60104;19.3;0.49277;982.915;;
Nicaragua [Americas];2004;Female;null;0.1;null;6.26167;0.3;0.20563;490.8083;;
Ukraine [Europe];2004;Female;null;1.8;null;8.93404;0.6;2.63292;680.1426;;
Algeria [Africa];2004;Both sexes;null;9.8;null;22.47634;17.1;1.03971;555.9263;2.37171;
Malta [Europe];2004;Both sexes;null;0.8;null;3.4755;1.9;0.08791;430.2291;0.67662;
Cabo Verde [Africa];2004;Both sexes;null;12.1;null;23.87111;7.4;0.48642;467.4895;2.01088;
Indonesia [South-East Asia];2004;Male;null;15.6;null;21.82144;12.0;0.65297;742.8374;;
Antigua and Barbuda [Americas];2004;Female;null;0.0;null;0.0;0.0;0.05168;463.3059;;
Yemen [Eastern Mediterranean];2004;Male;null;5.5;null;29.18287;28.3;2.94025;846.6786;;
Jordan [Eastern Mediterranean];2004;Female;null;0.0;null;15.01386;0.4;1.23318;689.1752;;
United States of America [Americas];2004;Male;null;9.6;null;21.8058;3.5;0.47055;529.3558;;
Panama [Americas];2002;null;Not applicable;9.72;null;;;;;;
Tajikistan [Europe];2004;Female;null;0.1;null;8.33392;1.2;0.87356;773.1904;;
Mauritania [Africa];2002;null;Not applicable;15.47;null;;;;;;
Burundi [Africa];2004;Male;null;83.7;null;41.5522;22.4;3.291;901.2403;;
Uruguay [Americas];2004;Both sexes;null;4.9;null;13.90944;3.6;0.42657;521.8799;1.30042;
Georgia [Europe];2002;null;Not applicable;3.5;null;;;;;;
Barbados [Americas];2004;Both sexes;null;14.5;null;16.71008;8.1;0.10643;498.8527;1.49875;
Grenada [Americas];2004;Female;null;0.0;null;0.46496;0.0;0.06434;479.9794;;
Israel [Europe];2004;Both sexes;null;4.9;null;7.73859;2.3;0.03562;387.2275;0.68751;
Somalia [Eastern Mediterranean];2002;null;Not applicable;38.62;null;;;;;;
Monaco [Europe];2004;Female;null;0.0;null;;0.0;;;;
Gambia [Africa];2002;null;Not applicable;11.82;null;;;;;;
United Arab Emirates [Eastern Mediterranean];2004;Female;null;0.0;null;10.18178;0.1;0.10485;523.5662;;
Nicaragua [Americas];2004;Male;null;31.4;null;25.70578;10.9;0.56041;647.2017;;
Belgium [Europe];2004;Both sexes;null;1.6;null;11.43117;1.2;0.57737;408.4439;0.66181;
Bolivia (Plurinational State of) [Americas];2004;Male;null;7.4;null;20.74212;15.3;0.97239;612.5527;;
Libya [Eastern Mediterranean];2004;Male;null;5.5;null;31.46175;7.8;1.25305;522.7065;;
Bahrain [Eastern Mediterranean];2004;Both sexes;null;1.1;null;15.66556;2.7;0.22274;849.8815;1.24436;
Andorra [Europe];2004;Female;null;0.0;null;;0.0;;;;
Niue [Western Pacific];2004;Female;null;0.0;null;;0.0;;;;
Poland [Europe];2004;Male;null;2.2;null;27.02152;3.7;1.68547;799.9812;;
Netherlands [Europe];2004;Both sexes;null;1.2;null;5.57494;1.2;0.1295;424.6453;0.63817;
Comoros [Africa];2002;null;Not applicable;8.97;null;;;;;;
Eritrea [Africa];2002;null;Not applicable;9.64;null;;;;;;
Albania [Europe];2004;Both sexes;null;6.7;null;14.65429;5.3;0.51017;558.5732;1.60437;
Cameroon [Africa];2004;Female;null;0.6;null;12.10995;2.6;2.14454;675.5907;;
Algeria [Africa];2004;Female;null;0.9;null;14.01115;2.9;0.78108;529.8498;;
Romania [Europe];2002;null;Not applicable;3.22;null;;;;;;
Andorra [Europe];2002;null;Not applicable;0.77;null;;;;;;
Maldives [South-East Asia];2004;Female;null;0.0;null;0.95713;0.0;0.0667;590.7391;;
San Marino [Europe];2004;Both sexes;null;0.0;null;;;;;0.56919;
India [South-East Asia];2004;Male;null;8.6;null;23.60447;24.7;0.58818;703.1933;;
Guatemala [Americas];2004;Female;null;0.6;null;1.80171;1.1;0.85721;453.1007;;
United Republic of Tanzania [Africa];2002;null;Not applicable;30.11;null;;;;;;
Mozambique [Africa];2004;Female;null;0.9;null;17.94327;3.9;2.59241;596.8509;;
Kiribati [Western Pacific];2002;null;Not applicable;7.26;null;;;;;;
Tajikistan [Europe];2002;null;Not applicable;7.99;null;;;;;;
Guyana [Americas];2004;Both sexes;null;23.8;null;29.09873;22.3;0.32769;875.261;2.42952;
Togo [Africa];2004;Female;null;0.2;null;19.95188;1.3;1.64933;635.5494;;
Uzbekistan [Europe];2002;null;Not applicable;4.49;null;;;;;;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;null;4.4;null;15.13941;15.0;0.89238;596.4451;3.382;
